,lat,lng,count
170,41.921778356,-87.64145976,125
171,41.921854911,-87.64621098,153
172,41.921877461,-87.66407824,93
173,41.922082541,-87.63415609,414
174,41.922686284,-87.64948873,2469
175,41.92276062,-87.69915534,1235
176,41.924347077,-87.73473975,52
177,41.92556723,-87.7123276,2
178,41.926811182,-87.64260525,30
179,41.927260956,-87.76550161,73
180,41.928391397,-87.70490724,8
181,41.928431564,-87.69996859,3
182,41.928464984,-87.69508668,2
183,41.928619051,-87.68536202,14
184,41.928763006,-87.66567684,53
185,41.928945904,-87.66089257,41
186,41.928967266,-87.65615683,81
187,41.929046936999995,-87.65131088,166
188,41.929077655,-87.64629348,178
189,41.92926299,-87.63589095,240
190,41.929272532,-87.67380724,25
191,41.929297368,-87.79803218,13
192,41.929329713,-87.71197425,10
193,41.93057857,-87.64220631,117
194,41.933675988000005,-87.71235748,2
195,41.934539715999996,-87.6430228,57
196,41.934650448,-87.63464788,8
197,41.934659157,-87.64672973,98
198,41.934762456,-87.63985386,167
199,41.935438915,-87.69332587,4
200,41.935706470999996,-87.70385454,3
201,41.935749459,-87.6809803,4
202,41.935983574,-87.67582193,9
203,41.935988906,-87.67096638,18
204,41.936086535,-87.66611069,42
205,41.936159071,-87.66126522,73
206,41.936237179,-87.65641153,102
207,41.936310131,-87.65156259,142
208,41.937401794,-87.7223303,1
209,41.93749397,-87.70998734,1
210,41.938232293,-87.64678208,62
211,41.938391258,-87.63857492,187
212,41.938666196,-87.71121059,393
213,41.94136566,-87.68082690000001,5
214,41.941422478,-87.67595393,2
215,41.941488234,-87.67110766,14
216,41.941555829,-87.66628889,13
217,41.9416281,-87.66144337,21
218,41.942488155,-87.74715432,4
219,41.942577185,-87.64707851,134
220,41.94258518,-87.65664409,59
221,41.942691844,-87.65177051,177
222,41.942859303,-87.71750386,21
223,41.942872538,-87.70133029,9
224,41.943155086,-87.64069808,132
225,41.943237122,-87.64347096,65
226,41.944226601,-87.65599818,3728
227,41.944813754,-87.69077501,10
228,41.945010151,-87.68092823,2
229,41.945069205,-87.67606274,3
230,41.945170453,-87.66879444,40
231,41.945282331,-87.66154509999998,15
232,41.946294535999996,-87.65429808,125
233,41.946489764,-87.64711363,9
234,41.94651142,-87.80601999999998,45
235,41.947791586,-87.68383494,775
236,41.949060526,-87.6616429,13
237,41.949139771,-87.65680391,61
238,41.949220914,-87.6519704,139
239,41.949709077,-87.75211842,1
240,41.949829346,-87.64396537,189
241,41.949974454,-87.73068426,1
242,41.950077635,-87.72261087,1
243,41.950212096,-87.71281423,4
244,41.950404411,-87.70200713,6
245,41.950442599,-87.68350623,7
246,41.950545696,-87.6761825,12
247,41.950605232,-87.67133249,15
248,41.950673358,-87.66653628,48
249,41.952719111,-87.6605035,4
250,41.952822916,-87.65324399,47
251,41.953400044,-87.64600707,78
252,41.953582125,-87.72345239,499
253,41.954027649000004,-87.76339903,208
254,41.955584115,-87.71309006,1
255,41.955771786999996,-87.70121309999998,2
256,41.957264108000004,-87.73089879,3
257,41.957360691,-87.72282225,3
258,41.957530922,-87.66661144,11
259,41.957651915999996,-87.69153025,4
260,41.957735565,-87.6837181,28
261,41.957843375,-87.67637328,10
262,41.957903897,-87.67151801,5
263,41.958055933000004,-87.66038946,39
264,41.958154876,-87.65302179,100
265,41.958797863,-87.73839391,3
266,41.960675697,-87.75240914,1
267,41.962178629,-87.64537876,114
268,41.963115755,-87.71322934,1
269,41.963184966,-87.68385456,5
270,41.963374382,-87.67018455,3
271,41.963633169,-87.65236536,8
272,41.964506955,-87.70273347,3
273,41.965141709,-87.67657807,9
274,41.965445784,-87.66319585,34
275,41.96581197,-87.65587879,1452
276,41.966806346,-87.69402009999997,5
277,41.966834067,-87.68401837,10
278,41.967011761,-87.67062104,4
279,41.967288614,-87.652435,3
280,41.968069,-87.72155906,292
281,41.969205937,-87.72316897,4
282,41.971142808,-87.7057767,1
283,41.972035672,-87.6860999,2
284,41.972437081,-87.67110953,16
285,41.972562538000005,-87.67884597,21
286,41.9725808,-87.69400106,14
287,41.972667956,-87.6638655,29
288,41.972709547,-87.65734111,25
289,41.972929316999995,-87.65029007,37
290,41.975170943,-87.68751552,639
291,41.978829526,-87.7711667,115
292,41.978875058,-87.65787126,6
293,41.97907082,-87.90303966,3107
294,41.979795551,-87.67144555,11
295,41.979855309,-87.69409602,3
296,41.979912445,-87.66418824,19
297,41.980157574,-87.65227402,2
298,41.980264315,-87.91362459999998,729
299,41.980843616,-87.73608393,1
300,41.982272929000004,-87.84158643,14
301,41.982745595,-87.65796635,2
302,41.982775009,-87.8773054,206
303,41.983330806,-87.68199354,5
304,41.983636307,-87.72358319,125
305,41.985015101,-87.80453201,142
306,41.985472422,-87.65379353,2
307,41.985476499,-87.65839767,1
308,41.9867118,-87.66341641,1080
309,41.986808626,-87.69441519,2
310,41.986895043000004,-87.70366827,2
